course_name,platform,category,career_domain,skills_required,tags,difficulty,duration,rating,description
HTML CSS JavaScript Fundamentals,Coursera,Web Development,Software Engineering,"CSS, Git, Django, REST APIs","full stack, web development, frontend, backend, advanced",Advanced,30 hours,4.9,"A project-based advanced course teaching CSS, Git, Django, REST APIs with real industry use cases."
HTML CSS JavaScript Fundamentals - Part 2,edX,Web Development,Software Engineering,"HTML, Django, REST APIs, Git","javascript, backend, full stack, frontend, beginner",Beginner,4 weeks,4.0,"A beginner level course covering HTML, Django, REST APIs, Git for learners aiming to become a Software Engineering."
Full Stack Web Development,Udacity,Web Development,Software Engineering,"HTML, Django, REST APIs, JavaScript","javascript, frontend, backend, web development, beginner",Beginner,30 hours,4.7,"Learn HTML, Django, REST APIs, JavaScript through practical projects in this beginner Web Development course."
Full Stack Web Development - Part 2,LinkedIn Learning,Web Development,Software Engineering,"React, CSS, JavaScript, REST APIs","javascript, web development, backend, frontend, intermediate",Intermediate,10 weeks,3.6,"This course builds real-world Web Development skills including React, CSS, JavaScript, REST APIs, ideal for aspiring Software Engineerings."
Building REST APIs with Django,edX,Web Development,Software Engineering,"React, HTML, CSS, Node.js","web development, javascript, backend, frontend, intermediate",Intermediate,30 hours,4.9,"A intermediate level course covering React, HTML, CSS, Node.js for learners aiming to become a Software Engineering."
Building REST APIs with Django - Part 2,Udemy,Web Development,Software Engineering,"JavaScript, Django, React, Node.js","frontend, backend, full stack, javascript, advanced",Advanced,6 weeks,4.8,"Hands-on Web Development training focused on JavaScript, Django, React, Node.js, designed for advanced learners."
Advanced React and Redux,Pluralsight,Web Development,Software Engineering,"Node.js, React, Django, JavaScript","full stack, javascript, web development, backend, advanced",Advanced,2 weeks,3.7,"Hands-on Web Development training focused on Node.js, React, Django, JavaScript, designed for advanced learners."
Advanced React and Redux - Part 2,LinkedIn Learning,Web Development,Software Engineering,"React, Node.js, CSS, HTML","web development, javascript, full stack, backend, beginner",Beginner,3 weeks,4.7,"A beginner level course covering React, Node.js, CSS, HTML for learners aiming to become a Software Engineering."
Responsive Web Design Bootcamp,LinkedIn Learning,Web Development,Software Engineering,"React, JavaScript, Django, Git","frontend, javascript, backend, full stack, beginner",Beginner,12 weeks,4.6,"Hands-on Web Development training focused on React, JavaScript, Django, Git, designed for beginner learners."
Responsive Web Design Bootcamp - Part 2,Udemy,Web Development,Software Engineering,"CSS, HTML, Django, React","backend, full stack, frontend, javascript, intermediate",Intermediate,60 hours,4.5,"A intermediate level course covering CSS, HTML, Django, React for learners aiming to become a Software Engineering."
Python for Data Science,Coursera,Data Science,Data Analyst,"Python, Data Visualization, NumPy, Excel","data analysis, beginner friendly, data science, statistics, beginner",Beginner,8 weeks,4.1,"Hands-on Data Science training focused on Python, Data Visualization, NumPy, Excel, designed for beginner learners."
Python for Data Science - Part 2,Udacity,Data Science,Data Analyst,"Pandas, Python, Data Visualization, SQL","data science, beginner friendly, statistics, python, intermediate",Intermediate,20 hours,4.1,"Hands-on Data Science training focused on Pandas, Python, Data Visualization, SQL, designed for intermediate learners."
Data Analysis with Pandas,Udemy,Data Science,Data Analyst,"Excel, Data Visualization, Python, Pandas","statistics, data science, data analysis, python, intermediate",Intermediate,30 hours,4.0,"This course builds real-world Data Science skills including Excel, Data Visualization, Python, Pandas, ideal for aspiring Data Analysts."
Data Analysis with Pandas - Part 2,Pluralsight,Data Science,Data Analyst,"SQL, Data Visualization, Pandas, Statistics","python, data analysis, data science, beginner friendly, advanced",Advanced,40 hours,3.7,"Learn SQL, Data Visualization, Pandas, Statistics through practical projects in this advanced Data Science course."
Statistics for Data Science,Udacity,Data Science,Data Analyst,"Statistics, Excel, Pandas, Python","beginner friendly, data science, statistics, python, advanced",Advanced,6 weeks,3.7,"A project-based advanced course teaching Statistics, Excel, Pandas, Python with real industry use cases."
Statistics for Data Science - Part 2,Udacity,Data Science,Data Analyst,"Python, Statistics, Pandas, Excel","beginner friendly, data science, data analysis, python, beginner",Beginner,10 weeks,3.9,"Learn Python, Statistics, Pandas, Excel through practical projects in this beginner Data Science course."
SQL for Data Analysts,Udemy,Data Science,Data Analyst,"NumPy, Data Visualization, Pandas, Excel","statistics, python, data science, beginner friendly, beginner",Beginner,40 hours,4.4,"This course builds real-world Data Science skills including NumPy, Data Visualization, Pandas, Excel, ideal for aspiring Data Analysts."
SQL for Data Analysts - Part 2,Coursera,Data Science,Data Analyst,"Python, Statistics, Pandas, NumPy","data analysis, python, data science, statistics, intermediate",Intermediate,20 hours,4.0,"Learn Python, Statistics, Pandas, NumPy through practical projects in this intermediate Data Science course."
Data Visualization with Matplotlib and Seaborn,LinkedIn Learning,Data Science,Data Analyst,"SQL, NumPy, Statistics, Python","beginner friendly, python, statistics, data science, intermediate",Intermediate,3 weeks,3.9,"Hands-on Data Science training focused on SQL, NumPy, Statistics, Python, designed for intermediate learners."
Data Visualization with Matplotlib and Seaborn - Part 2,Pluralsight,Data Science,Data Analyst,"Statistics, Pandas, NumPy, Excel","beginner friendly, data analysis, python, statistics, advanced",Advanced,8 weeks,4.5,"Hands-on Data Science training focused on Statistics, Pandas, NumPy, Excel, designed for advanced learners."
Excel for Data Analysis,LinkedIn Learning,Data Science,Data Analyst,"Data Visualization, NumPy, Python, Statistics","statistics, python, data science, beginner friendly, advanced",Advanced,60 hours,4.6,"Learn Data Visualization, NumPy, Python, Statistics through practical projects in this advanced Data Science course."
Excel for Data Analysis - Part 2,edX,Data Science,Data Analyst,"Pandas, SQL, Data Visualization, Statistics","beginner friendly, data science, statistics, python, beginner",Beginner,10 weeks,4.3,"Hands-on Data Science training focused on Pandas, SQL, Data Visualization, Statistics, designed for beginner learners."
Introduction to Data Science,LinkedIn Learning,Data Science,Data Analyst,"Statistics, Pandas, Data Visualization, SQL","data science, python, data analysis, beginner friendly, beginner",Beginner,6 weeks,3.9,"Learn Statistics, Pandas, Data Visualization, SQL through practical projects in this beginner Data Science course."
Introduction to Data Science - Part 2,Pluralsight,Data Science,Data Analyst,"Python, NumPy, Statistics, Data Visualization","beginner friendly, data analysis, data science, python, intermediate",Intermediate,2 weeks,4.7,"Hands-on Data Science training focused on Python, NumPy, Statistics, Data Visualization, designed for intermediate learners."
Exploratory Data Analysis Masterclass,Udemy,Data Science,Data Analyst,"SQL, NumPy, Data Visualization, Pandas","python, data analysis, beginner friendly, data science, intermediate",Intermediate,20 hours,4.7,"This course builds real-world Data Science skills including SQL, NumPy, Data Visualization, Pandas, ideal for aspiring Data Analysts."
Exploratory Data Analysis Masterclass - Part 2,Udemy,Data Science,Data Analyst,"Pandas, Data Visualization, NumPy, Statistics","data analysis, beginner friendly, data science, python, advanced",Advanced,3 weeks,4.0,"This course builds real-world Data Science skills including Pandas, Data Visualization, NumPy, Statistics, ideal for aspiring Data Analysts."
Data Science Bootcamp,edX,Data Science,Data Analyst,"NumPy, SQL, Statistics, Data Visualization","beginner friendly, python, data science, statistics, advanced",Advanced,8 weeks,3.8,"Learn NumPy, SQL, Statistics, Data Visualization through practical projects in this advanced Data Science course."
Data Science Bootcamp - Part 2,Coursera,Data Science,Data Analyst,"Python, Statistics, Data Visualization, NumPy","python, statistics, beginner friendly, data science, beginner",Beginner,6 weeks,4.8,"This course builds real-world Data Science skills including Python, Statistics, Data Visualization, NumPy, ideal for aspiring Data Analysts."
Applied Statistics with Python,edX,Data Science,Data Analyst,"Python, SQL, Data Visualization, Excel","beginner friendly, data analysis, statistics, python, beginner",Beginner,10 weeks,4.8,"A beginner level course covering Python, SQL, Data Visualization, Excel for learners aiming to become a Data Analyst."
Applied Statistics with Python - Part 2,LinkedIn Learning,Data Science,Data Analyst,"NumPy, SQL, Python, Excel","beginner friendly, python, statistics, data analysis, intermediate",Intermediate,8 weeks,4.1,"Learn NumPy, SQL, Python, Excel through practical projects in this intermediate Data Science course."
Machine Learning A-Z,LinkedIn Learning,Machine Learning,AI/ML Engineer,"Scikit-learn, Deep Learning, PyTorch, TensorFlow","neural networks, deep learning, ai, python, beginner",Beginner,2 weeks,4.3,"This course builds real-world Machine Learning skills including Scikit-learn, Deep Learning, PyTorch, TensorFlow, ideal for aspiring AI/ML Engineers."
Machine Learning A-Z - Part 2,edX,Machine Learning,AI/ML Engineer,"TensorFlow, Scikit-learn, PyTorch, Deep Learning","python, ai, deep learning, neural networks, intermediate",Intermediate,30 hours,4.5,"This course builds real-world Machine Learning skills including TensorFlow, Scikit-learn, PyTorch, Deep Learning, ideal for aspiring AI/ML Engineers."
Deep Learning Specialization,Udacity,Machine Learning,AI/ML Engineer,"Deep Learning, Scikit-learn, Python, Machine Learning","python, ai, machine learning, neural networks, intermediate",Intermediate,6 weeks,3.9,"Learn Deep Learning, Scikit-learn, Python, Machine Learning through practical projects in this intermediate Machine Learning course."
Deep Learning Specialization - Part 2,Udemy,Machine Learning,AI/ML Engineer,"Python, Deep Learning, Scikit-learn, PyTorch","python, machine learning, deep learning, ai, advanced",Advanced,12 weeks,3.9,"A project-based advanced course teaching Python, Deep Learning, Scikit-learn, PyTorch with real industry use cases."
Introduction to Neural Networks,Udacity,Machine Learning,AI/ML Engineer,"PyTorch, Scikit-learn, Machine Learning, TensorFlow","machine learning, python, deep learning, neural networks, advanced",Advanced,30 hours,4.6,"Hands-on Machine Learning training focused on PyTorch, Scikit-learn, Machine Learning, TensorFlow, designed for advanced learners."
Introduction to Neural Networks - Part 2,Udacity,Machine Learning,AI/ML Engineer,"Python, Machine Learning, Scikit-learn, Deep Learning","neural networks, deep learning, python, ai, beginner",Beginner,30 hours,4.4,"This course builds real-world Machine Learning skills including Python, Machine Learning, Scikit-learn, Deep Learning, ideal for aspiring AI/ML Engineers."
Machine Learning with Scikit-learn,Udacity,Machine Learning,AI/ML Engineer,"Machine Learning, PyTorch, Scikit-learn, TensorFlow","neural networks, python, deep learning, machine learning, beginner",Beginner,30 hours,4.6,"Learn Machine Learning, PyTorch, Scikit-learn, TensorFlow through practical projects in this beginner Machine Learning course."
Machine Learning with Scikit-learn - Part 2,Udacity,Machine Learning,AI/ML Engineer,"Deep Learning, Scikit-learn, TensorFlow, Machine Learning","machine learning, ai, python, deep learning, intermediate",Intermediate,30 hours,4.0,"Learn Deep Learning, Scikit-learn, TensorFlow, Machine Learning through practical projects in this intermediate Machine Learning course."
TensorFlow for Deep Learning,Coursera,Machine Learning,AI/ML Engineer,"Scikit-learn, Deep Learning, Machine Learning, PyTorch","deep learning, python, machine learning, neural networks, intermediate",Intermediate,20 hours,4.0,"This course builds real-world Machine Learning skills including Scikit-learn, Deep Learning, Machine Learning, PyTorch, ideal for aspiring AI/ML Engineers."
TensorFlow for Deep Learning - Part 2,Udacity,Machine Learning,AI/ML Engineer,"Python, Scikit-learn, PyTorch, Machine Learning","python, machine learning, ai, deep learning, advanced",Advanced,10 weeks,3.6,"This course builds real-world Machine Learning skills including Python, Scikit-learn, PyTorch, Machine Learning, ideal for aspiring AI/ML Engineers."
PyTorch for Beginners,edX,Machine Learning,AI/ML Engineer,"PyTorch, Deep Learning, Scikit-learn, Machine Learning","deep learning, ai, python, neural networks, advanced",Advanced,60 hours,4.1,"A advanced level course covering PyTorch, Deep Learning, Scikit-learn, Machine Learning for learners aiming to become a AI/ML Engineer."
PyTorch for Beginners - Part 2,Pluralsight,Machine Learning,AI/ML Engineer,"PyTorch, Scikit-learn, Deep Learning, Python","python, machine learning, deep learning, neural networks, beginner",Beginner,4 weeks,4.4,"A beginner level course covering PyTorch, Scikit-learn, Deep Learning, Python for learners aiming to become a AI/ML Engineer."
Natural Language Processing Fundamentals,Udacity,Machine Learning,AI/ML Engineer,"Scikit-learn, Python, TensorFlow, Deep Learning","ai, deep learning, neural networks, python, beginner",Beginner,12 weeks,4.6,"Learn Scikit-learn, Python, TensorFlow, Deep Learning through practical projects in this beginner Machine Learning course."
Natural Language Processing Fundamentals - Part 2,edX,Machine Learning,AI/ML Engineer,"PyTorch, TensorFlow, Python, Scikit-learn","machine learning, python, deep learning, neural networks, intermediate",Intermediate,60 hours,4.6,"A intermediate level course covering PyTorch, TensorFlow, Python, Scikit-learn for learners aiming to become a AI/ML Engineer."
Computer Vision with Deep Learning,Coursera,Machine Learning,AI/ML Engineer,"Python, Scikit-learn, Machine Learning, Deep Learning","python, deep learning, machine learning, ai, intermediate",Intermediate,40 hours,4.5,"This course builds real-world Machine Learning skills including Python, Scikit-learn, Machine Learning, Deep Learning, ideal for aspiring AI/ML Engineers."
Computer Vision with Deep Learning - Part 2,Udemy,Machine Learning,AI/ML Engineer,"PyTorch, TensorFlow, Machine Learning, Python","python, machine learning, neural networks, deep learning, advanced",Advanced,8 weeks,4.4,"A advanced level course covering PyTorch, TensorFlow, Machine Learning, Python for learners aiming to become a AI/ML Engineer."
Applied Machine Learning,LinkedIn Learning,Machine Learning,AI/ML Engineer,"Deep Learning, PyTorch, Machine Learning, TensorFlow","deep learning, machine learning, ai, neural networks, advanced",Advanced,8 weeks,4.5,"A advanced level course covering Deep Learning, PyTorch, Machine Learning, TensorFlow for learners aiming to become a AI/ML Engineer."
Applied Machine Learning - Part 2,Pluralsight,Machine Learning,AI/ML Engineer,"Machine Learning, Python, Deep Learning, Scikit-learn","python, neural networks, ai, deep learning, beginner",Beginner,10 weeks,4.3,"A beginner level course covering Machine Learning, Python, Deep Learning, Scikit-learn for learners aiming to become a AI/ML Engineer."
Reinforcement Learning Basics,Coursera,Machine Learning,AI/ML Engineer,"PyTorch, Deep Learning, Python, Scikit-learn","ai, neural networks, python, machine learning, beginner",Beginner,30 hours,3.8,"This course builds real-world Machine Learning skills including PyTorch, Deep Learning, Python, Scikit-learn, ideal for aspiring AI/ML Engineers."
Reinforcement Learning Basics - Part 2,Pluralsight,Machine Learning,AI/ML Engineer,"TensorFlow, Machine Learning, PyTorch, Scikit-learn","neural networks, ai, deep learning, machine learning, intermediate",Intermediate,20 hours,4.0,"A intermediate level course covering TensorFlow, Machine Learning, PyTorch, Scikit-learn for learners aiming to become a AI/ML Engineer."
AWS Certified Solutions Architect,Udemy,Cloud Computing,Cloud Engineer,"Linux, Docker, Kubernetes, DevOps","devops, cloud computing, aws, kubernetes, beginner",Beginner,10 weeks,4.2,"Hands-on Cloud Computing training focused on Linux, Docker, Kubernetes, DevOps, designed for beginner learners."
AWS Certified Solutions Architect - Part 2,edX,Cloud Computing,Cloud Engineer,"Google Cloud, Linux, Kubernetes, DevOps","kubernetes, cloud computing, devops, infrastructure, intermediate",Intermediate,12 weeks,3.9,"A intermediate level course covering Google Cloud, Linux, Kubernetes, DevOps for learners aiming to become a Cloud Engineer."
Microsoft Azure Fundamentals,Udacity,Cloud Computing,Cloud Engineer,"Kubernetes, Azure, Docker, Linux","infrastructure, cloud computing, kubernetes, aws, intermediate",Intermediate,6 weeks,4.1,"Hands-on Cloud Computing training focused on Kubernetes, Azure, Docker, Linux, designed for intermediate learners."
Microsoft Azure Fundamentals - Part 2,edX,Cloud Computing,Cloud Engineer,"DevOps, Kubernetes, Google Cloud, Docker","kubernetes, devops, aws, infrastructure, advanced",Advanced,8 weeks,4.5,"Learn DevOps, Kubernetes, Google Cloud, Docker through practical projects in this advanced Cloud Computing course."
Google Cloud Platform Essentials,edX,Cloud Computing,Cloud Engineer,"Google Cloud, Azure, AWS, DevOps","devops, cloud computing, kubernetes, infrastructure, advanced",Advanced,20 hours,3.9,"Hands-on Cloud Computing training focused on Google Cloud, Azure, AWS, DevOps, designed for advanced learners."
Google Cloud Platform Essentials - Part 2,edX,Cloud Computing,Cloud Engineer,"DevOps, Kubernetes, Linux, Google Cloud","cloud computing, aws, infrastructure, kubernetes, beginner",Beginner,2 weeks,3.8,"Learn DevOps, Kubernetes, Linux, Google Cloud through practical projects in this beginner Cloud Computing course."
Docker and Kubernetes Complete Guide,Pluralsight,Cloud Computing,Cloud Engineer,"Kubernetes, Azure, Google Cloud, AWS","cloud computing, devops, infrastructure, kubernetes, beginner",Beginner,2 weeks,3.7,"This course builds real-world Cloud Computing skills including Kubernetes, Azure, Google Cloud, AWS, ideal for aspiring Cloud Engineers."
Docker and Kubernetes Complete Guide - Part 2,LinkedIn Learning,Cloud Computing,Cloud Engineer,"Google Cloud, Docker, DevOps, Kubernetes","devops, aws, cloud computing, infrastructure, intermediate",Intermediate,3 weeks,3.7,"This course builds real-world Cloud Computing skills including Google Cloud, Docker, DevOps, Kubernetes, ideal for aspiring Cloud Engineers."
DevOps Engineering Bootcamp,Udacity,Cloud Computing,Cloud Engineer,"Docker, AWS, Kubernetes, DevOps","aws, kubernetes, devops, infrastructure, intermediate",Intermediate,3 weeks,4.9,"A intermediate level course covering Docker, AWS, Kubernetes, DevOps for learners aiming to become a Cloud Engineer."
DevOps Engineering Bootcamp - Part 2,LinkedIn Learning,Cloud Computing,Cloud Engineer,"Linux, Docker, Kubernetes, Azure","kubernetes, infrastructure, aws, devops, advanced",Advanced,12 weeks,4.7,"Learn Linux, Docker, Kubernetes, Azure through practical projects in this advanced Cloud Computing course."
Linux for Cloud Engineers,edX,Cloud Computing,Cloud Engineer,"Kubernetes, Linux, AWS, DevOps","aws, kubernetes, infrastructure, cloud computing, advanced",Advanced,30 hours,3.9,"Hands-on Cloud Computing training focused on Kubernetes, Linux, AWS, DevOps, designed for advanced learners."
Linux for Cloud Engineers - Part 2,Coursera,Cloud Computing,Cloud Engineer,"Azure, AWS, Docker, Kubernetes","kubernetes, infrastructure, aws, cloud computing, beginner",Beginner,8 weeks,4.0,"Hands-on Cloud Computing training focused on Azure, AWS, Docker, Kubernetes, designed for beginner learners."
Cloud Infrastructure with Terraform,Pluralsight,Cloud Computing,Cloud Engineer,"Linux, Docker, AWS, Azure","devops, aws, infrastructure, cloud computing, beginner",Beginner,4 weeks,3.9,"A project-based beginner course teaching Linux, Docker, AWS, Azure with real industry use cases."
Cloud Infrastructure with Terraform - Part 2,edX,Cloud Computing,Cloud Engineer,"Linux, Azure, AWS, Kubernetes","aws, devops, infrastructure, kubernetes, intermediate",Intermediate,8 weeks,3.8,"This course builds real-world Cloud Computing skills including Linux, Azure, AWS, Kubernetes, ideal for aspiring Cloud Engineers."
AWS Lambda and Serverless Computing,Pluralsight,Cloud Computing,Cloud Engineer,"Docker, Google Cloud, Kubernetes, Linux","infrastructure, cloud computing, devops, kubernetes, intermediate",Intermediate,40 hours,4.6,"This course builds real-world Cloud Computing skills including Docker, Google Cloud, Kubernetes, Linux, ideal for aspiring Cloud Engineers."
AWS Lambda and Serverless Computing - Part 2,edX,Cloud Computing,Cloud Engineer,"AWS, Linux, Azure, DevOps","devops, cloud computing, infrastructure, aws, advanced",Advanced,8 weeks,4.4,"A project-based advanced course teaching AWS, Linux, Azure, DevOps with real industry use cases."
CI/CD Pipelines with Jenkins,Udemy,Cloud Computing,Cloud Engineer,"Kubernetes, Docker, DevOps, AWS","infrastructure, devops, aws, kubernetes, advanced",Advanced,4 weeks,4.5,"Learn Kubernetes, Docker, DevOps, AWS through practical projects in this advanced Cloud Computing course."
CI/CD Pipelines with Jenkins - Part 2,edX,Cloud Computing,Cloud Engineer,"Docker, DevOps, Linux, Google Cloud","infrastructure, cloud computing, aws, kubernetes, beginner",Beginner,3 weeks,3.9,"Learn Docker, DevOps, Linux, Google Cloud through practical projects in this beginner Cloud Computing course."
Cloud Security Fundamentals,Udacity,Cloud Computing,Cloud Engineer,"Linux, Kubernetes, AWS, Docker","infrastructure, cloud computing, kubernetes, aws, beginner",Beginner,60 hours,4.6,"A project-based beginner course teaching Linux, Kubernetes, AWS, Docker with real industry use cases."
Cloud Security Fundamentals - Part 2,Udacity,Cloud Computing,Cloud Engineer,"Linux, AWS, Azure, Google Cloud","kubernetes, aws, infrastructure, devops, intermediate",Intermediate,60 hours,3.8,"This course builds real-world Cloud Computing skills including Linux, AWS, Azure, Google Cloud, ideal for aspiring Cloud Engineers."
Ethical Hacking Bootcamp,LinkedIn Learning,Cybersecurity,Security Analyst,"Ethical Hacking, SIEM, Cryptography, Linux","cybersecurity, network security, ethical hacking, penetration testing, beginner",Beginner,3 weeks,4.9,"Hands-on Cybersecurity training focused on Ethical Hacking, SIEM, Cryptography, Linux, designed for beginner learners."
Ethical Hacking Bootcamp - Part 2,Udacity,Cybersecurity,Security Analyst,"Network Security, Ethical Hacking, Linux, Cryptography","network security, penetration testing, ethical hacking, cybersecurity, intermediate",Intermediate,6 weeks,4.9,"This course builds real-world Cybersecurity skills including Network Security, Ethical Hacking, Linux, Cryptography, ideal for aspiring Security Analysts."
Network Security Fundamentals,Udacity,Cybersecurity,Security Analyst,"Python, Ethical Hacking, Linux, Network Security","ethical hacking, cybersecurity, penetration testing, network security, intermediate",Intermediate,30 hours,4.8,"Learn Python, Ethical Hacking, Linux, Network Security through practical projects in this intermediate Cybersecurity course."
Network Security Fundamentals - Part 2,edX,Cybersecurity,Security Analyst,"Network Security, Cryptography, Python, Linux","penetration testing, cybersecurity, ethical hacking, network security, advanced",Advanced,30 hours,4.0,"Learn Network Security, Cryptography, Python, Linux through practical projects in this advanced Cybersecurity course."
Certified Cybersecurity Analyst Prep,Udacity,Cybersecurity,Security Analyst,"Linux, Cryptography, Ethical Hacking, Python","ethical hacking, network security, penetration testing, cybersecurity, advanced",Advanced,20 hours,3.7,"This course builds real-world Cybersecurity skills including Linux, Cryptography, Ethical Hacking, Python, ideal for aspiring Security Analysts."
Certified Cybersecurity Analyst Prep - Part 2,Pluralsight,Cybersecurity,Security Analyst,"Linux, SIEM, Ethical Hacking, Python","cybersecurity, penetration testing, ethical hacking, network security, beginner",Beginner,20 hours,3.7,"This course builds real-world Cybersecurity skills including Linux, SIEM, Ethical Hacking, Python, ideal for aspiring Security Analysts."
Penetration Testing with Kali Linux,Coursera,Cybersecurity,Security Analyst,"SIEM, Ethical Hacking, Linux, Cryptography","ethical hacking, cybersecurity, penetration testing, network security, beginner",Beginner,12 weeks,4.4,"Learn SIEM, Ethical Hacking, Linux, Cryptography through practical projects in this beginner Cybersecurity course."
Penetration Testing with Kali Linux - Part 2,Pluralsight,Cybersecurity,Security Analyst,"Network Security, Cryptography, Linux, Ethical Hacking","penetration testing, network security, cybersecurity, ethical hacking, intermediate",Intermediate,8 weeks,4.4,"Hands-on Cybersecurity training focused on Network Security, Cryptography, Linux, Ethical Hacking, designed for intermediate learners."
Cryptography Basics,Udemy,Cybersecurity,Security Analyst,"SIEM, Network Security, Linux, Python","cybersecurity, ethical hacking, penetration testing, network security, intermediate",Intermediate,2 weeks,3.7,"A intermediate level course covering SIEM, Network Security, Linux, Python for learners aiming to become a Security Analyst."
Cryptography Basics - Part 2,edX,Cybersecurity,Security Analyst,"Cryptography, SIEM, Linux, Network Security","ethical hacking, network security, penetration testing, cybersecurity, advanced",Advanced,40 hours,3.8,"Hands-on Cybersecurity training focused on Cryptography, SIEM, Linux, Network Security, designed for advanced learners."
Security Operations and SIEM,Udacity,Cybersecurity,Security Analyst,"Python, Ethical Hacking, Linux, Cryptography","ethical hacking, cybersecurity, penetration testing, network security, advanced",Advanced,2 weeks,3.9,"This course builds real-world Cybersecurity skills including Python, Ethical Hacking, Linux, Cryptography, ideal for aspiring Security Analysts."
Security Operations and SIEM - Part 2,Udacity,Cybersecurity,Security Analyst,"Cryptography, Python, Ethical Hacking, Network Security","penetration testing, ethical hacking, network security, cybersecurity, beginner",Beginner,8 weeks,4.2,"Learn Cryptography, Python, Ethical Hacking, Network Security through practical projects in this beginner Cybersecurity course."
Introduction to Cybersecurity,Udemy,Cybersecurity,Security Analyst,"Linux, SIEM, Network Security, Python","penetration testing, network security, ethical hacking, cybersecurity, beginner",Beginner,60 hours,3.6,"Learn Linux, SIEM, Network Security, Python through practical projects in this beginner Cybersecurity course."
Introduction to Cybersecurity - Part 2,Udacity,Cybersecurity,Security Analyst,"Cryptography, Network Security, Python, SIEM","penetration testing, ethical hacking, cybersecurity, network security, intermediate",Intermediate,40 hours,4.4,"Hands-on Cybersecurity training focused on Cryptography, Network Security, Python, SIEM, designed for intermediate learners."
Web Application Security,edX,Cybersecurity,Security Analyst,"SIEM, Ethical Hacking, Network Security, Cryptography","cybersecurity, ethical hacking, network security, penetration testing, intermediate",Intermediate,4 weeks,4.1,"A project-based intermediate course teaching SIEM, Ethical Hacking, Network Security, Cryptography with real industry use cases."
Web Application Security - Part 2,Coursera,Cybersecurity,Security Analyst,"Cryptography, SIEM, Linux, Network Security","ethical hacking, cybersecurity, penetration testing, network security, advanced",Advanced,20 hours,3.9,"Hands-on Cybersecurity training focused on Cryptography, SIEM, Linux, Network Security, designed for advanced learners."
Malware Analysis Fundamentals,edX,Cybersecurity,Security Analyst,"SIEM, Cryptography, Network Security, Ethical Hacking","cybersecurity, penetration testing, network security, ethical hacking, advanced",Advanced,12 weeks,4.1,"A project-based advanced course teaching SIEM, Cryptography, Network Security, Ethical Hacking with real industry use cases."
Malware Analysis Fundamentals - Part 2,Coursera,Cybersecurity,Security Analyst,"Cryptography, Python, Network Security, Ethical Hacking","network security, penetration testing, ethical hacking, cybersecurity, beginner",Beginner,6 weeks,3.7,"Learn Cryptography, Python, Network Security, Ethical Hacking through practical projects in this beginner Cybersecurity course."
